Date,Open,High,Low,Close,Volume,symbole_action,nom_entreprise
2020-06-08,139.93067578268133,139.93067578268133,137.60506676680785,138.9058380126953,3081250.0,VWS.CO,Vestas Wind Systems
2020-06-09,140.04892684846547,142.57161839880024,139.7335979228875,141.9015350341797,3479015.0,VWS.CO,Vestas Wind Systems
2020-06-10,141.82267839285552,144.14828714651833,137.40796882259625,138.5116424560547,4488895.0,VWS.CO,Vestas Wind Systems
2020-06-11,135.79188272318368,135.83129319851017,131.2195007275307,131.45599365234375,4364810.0,VWS.CO,Vestas Wind Systems
2020-06-12,128.26321253474214,132.1654959655032,127.51427821272186,130.5888214111328,3408025.0,VWS.CO,Vestas Wind Systems
2020-06-15,127.98729206006358,132.48083777444435,127.35661924114042,132.12608337402344,2704575.0,VWS.CO,Vestas Wind Systems
2020-06-16,135.0035331763982,135.79187798325373,131.69249701674627,133.7421875,3355395.0,VWS.CO,Vestas Wind Systems
2020-06-17,134.49112224987746,135.75246807120777,133.0721044417738,134.13636779785156,2906930.0,VWS.CO,Vestas Wind Systems
2020-06-18,132.04725259606883,134.1757790824792,129.879315635359,130.8253173828125,4584475.0,VWS.CO,Vestas Wind Systems
2020-06-19,131.9684290030223,132.63852742044926,130.78591918945312,130.78591918945312,4307460.0,VWS.CO,Vestas Wind Systems
2020-06-22,129.2880603787944,132.6779327392578,128.3026330664005,132.6779327392578,2513280.0,VWS.CO,Vestas Wind Systems
2020-06-23,133.8210273358948,134.96412658691406,132.2837631883164,134.96412658691406,2588565.0,VWS.CO,Vestas Wind Systems
2020-06-24,135.00353883910728,135.75245816699876,132.52025785610073,132.83560180664062,3101685.0,VWS.CO,Vestas Wind Systems
2020-06-25,132.04725862780984,133.70276927968828,130.1158144975243,130.3129119873047,3048570.0,VWS.CO,Vestas Wind Systems
2020-06-26,131.57425493990402,133.66335596667588,130.86474609375,130.86474609375,2266515.0,VWS.CO,Vestas Wind Systems
2020-06-29,130.66766371472943,132.4414207946397,129.24864602165954,131.06182861328125,2315360.0,VWS.CO,Vestas Wind Systems
2020-06-30,131.6530831490585,134.01810247223332,131.33773921987455,133.11151123046875,2662980.0,VWS.CO,Vestas Wind Systems
2020-07-01,135.00354161070595,138.78757887630724,134.80645915578603,137.7627410888672,4021390.0,VWS.CO,Vestas Wind Systems
2020-07-02,138.19633879942643,140.52194797754996,137.28974742984312,140.20660400390625,3096535.0,VWS.CO,Vestas Wind Systems
2020-07-03,139.53652006486794,141.34970279689176,138.90584715649322,139.0240936279297,2363580.0,VWS.CO,Vestas Wind Systems
2020-07-06,140.12775879739624,141.11318609560075,138.19632971331467,139.89126586914062,1896750.0,VWS.CO,Vestas Wind Systems
2020-07-07,139.53650609619265,141.78327904713515,139.45767011098437,141.38909912109375,2579020.0,VWS.CO,Vestas Wind Systems
2020-07-08,141.38910130088118,144.9366455078125,141.23144436446074,144.9366455078125,4342170.0,VWS.CO,Vestas Wind Systems
2020-07-09,146.8286657335743,148.60243785710426,145.88264892221596,147.6958465576172,3700025.0,VWS.CO,Vestas Wind Systems
2020-07-10,147.104583235032,147.5381736442948,145.7249910568568,146.3162384033203,2399280.0,VWS.CO,Vestas Wind Systems
2020-07-13,147.0257432334286,149.58786010742188,146.63157834654962,149.58786010742188,2146925.0,VWS.CO,Vestas Wind Systems
2020-07-14,149.58786053424382,149.66669651912989,144.1482978685186,145.29139709472656,2880140.0,VWS.CO,Vestas Wind Systems
2020-07-15,147.57758859088682,154.39674377441406,146.94691571369435,154.39674377441406,4004555.0,VWS.CO,Vestas Wind Systems
2020-07-16,152.7412339284016,155.5792694091797,150.7703792970674,155.5792694091797,3107555.0,VWS.CO,Vestas Wind Systems
2020-07-17,156.1310891617345,159.08737078422706,155.9734171997927,157.707763671875,3038065.0,VWS.CO,Vestas Wind Systems
2020-07-20,158.299038226221,164.4875203639307,157.98370931443066,162.55609130859375,4105090.0,VWS.CO,Vestas Wind Systems
2020-07-21,163.85684382609,167.4437984562036,163.62033587023544,166.81312561035156,4052980.0,VWS.CO,Vestas Wind Systems
2020-07-22,166.93138454233696,168.15331985090884,165.39412030549258,167.36497497558594,2388900.0,VWS.CO,Vestas Wind Systems
2020-07-23,167.9168105469128,171.1884364908308,166.85256226555137,170.4789276123047,2720445.0,VWS.CO,Vestas Wind Systems
2020-07-24,169.09931819948685,169.09931819948685,166.06420053538645,167.1284637451172,2636750.0,VWS.CO,Vestas Wind Systems
2020-07-27,166.14303597070054,167.286120122786,163.77800161139103,166.34011840820312,2522130.0,VWS.CO,Vestas Wind Systems
2020-07-28,165.9853840272545,166.30071295800832,163.1079379906465,164.05393981933594,2302835.0,VWS.CO,Vestas Wind Systems
2020-07-29,162.1224924852257,164.17218293299618,157.55011072833045,159.1267852783203,4251850.0,VWS.CO,Vestas Wind Systems
2020-07-30,158.45671528724955,162.8320149724501,157.66837042782493,161.05824279785156,3074545.0,VWS.CO,Vestas Wind Systems
2020-07-31,161.5312369196459,163.73859942610878,159.32387441318303,159.9939727783203,2288380.0,VWS.CO,Vestas Wind Systems
2020-08-03,159.83630915655343,164.21160888671875,159.20563626981783,164.21160888671875,2385895.0,VWS.CO,Vestas Wind Systems
2020-08-04,165.47295081201298,165.7488692537664,160.6640607647205,162.9896697998047,2209240.0,VWS.CO,Vestas Wind Systems
2020-08-05,164.96053219104476,166.2613035090763,164.21161281899597,166.02479553222656,2171825.0,VWS.CO,Vestas Wind Systems
2020-08-06,165.51236259849006,166.65544674677466,164.132755467707,165.55177307128906,1575135.0,VWS.CO,Vestas Wind Systems
2020-08-07,164.72402578922055,168.7839813232422,164.72402578922055,168.7839813232422,2911190.0,VWS.CO,Vestas Wind Systems
2020-08-10,168.38980908660355,169.3752363119953,166.02477472380758,166.93136596679688,2020550.0,VWS.CO,Vestas Wind Systems
2020-08-11,175.4060704633454,182.77706292205463,174.14472464270304,182.69822692871094,7126825.0,VWS.CO,Vestas Wind Systems
